"feature" "activity" "measurement" "axis" "average"
"fBodyAcc" "laying" "mean" "X" -0.966812071347737
"fBodyAcc" "laying" "mean" "Y" -0.952678416904835
"fBodyAcc" "laying" "mean" "Z" -0.960018019984568
"fBodyAcc" "laying" "std" "X" -0.959031456047479
"fBodyAcc" "laying" "std" "Y" -0.942460971074588
"fBodyAcc" "laying" "std" "Z" -0.945643635450566
"fBodyAcc" "sitting" "mean" "X" -0.983091966702307
"fBodyAcc" "sitting" "mean" "Y" -0.947917966193585
"fBodyAcc" "sitting" "mean" "Z" -0.957031035425999
"fBodyAcc" "sitting" "std" "X" -0.983747266764209
"fBodyAcc" "sitting" "std" "Y" -0.932533490271469
"fBodyAcc" "sitting" "std" "Z" -0.934336687975915
"fBodyAcc" "standing" "mean" "X" -0.98162230498426
"fBodyAcc" "standing" "mean" "Y" -0.943132376852046
"fBodyAcc" "standing" "mean" "Z" -0.957359650828961
"fBodyAcc" "standing" "std" "X" -0.985859786930745
"fBodyAcc" "standing" "std" "Y" -0.931132967334732
"fBodyAcc" "standing" "std" "Z" -0.935439598488982
"fBodyAcc" "walking" "mean" "X" -0.297890931822619
"fBodyAcc" "walking" "mean" "Y" -0.0423392245272938
"fBodyAcc" "walking" "mean" "Z" -0.341840674953966
"fBodyAcc" "walking" "std" "X" -0.322835798362427
"fBodyAcc" "walking" "std" "Y" -0.0772063416317422
"fBodyAcc" "walking" "std" "Z" -0.296078309260848
"fBodyAcc" "walking_downstairs" "mean" "X" 0.035259668648926
"fBodyAcc" "walking_downstairs" "mean" "Y" 0.0566826541965861
"fBodyAcc" "walking_downstairs" "mean" "Z" -0.21372923278293
"fBodyAcc" "walking_downstairs" "std" "X" 0.121937984843535
"fBodyAcc" "walking_downstairs" "std" "Y" -0.0082336714233357
"fBodyAcc" "walking_downstairs" "std" "Z" -0.245872896782916
"fBodyAcc" "walking_upstairs" "mean" "X" -0.293406752279022
"fBodyAcc" "walking_upstairs" "mean" "Y" -0.134950514403271
"fBodyAcc" "walking_upstairs" "mean" "Z" -0.368122061042293
"fBodyAcc" "walking_upstairs" "std" "X" -0.218887990072578
"fBodyAcc" "walking_upstairs" "std" "Y" -0.0218110366534067
"fBodyAcc" "walking_upstairs" "std" "Z" -0.146601790497137
"fBodyAccJerk" "laying" "mean" "X" -0.980197655180041
"fBodyAccJerk" "laying" "mean" "Y" -0.971383628894033
"fBodyAccJerk" "laying" "mean" "Z" -0.976614530180041
"fBodyAccJerk" "laying" "std" "X" -0.982459599243827
"fBodyAccJerk" "laying" "std" "Y" -0.973051242896091
"fBodyAccJerk" "laying" "std" "Z" -0.980971915740741
"fBodyAccJerk" "sitting" "mean" "X" -0.985188769302195
"fBodyAccJerk" "sitting" "mean" "Y" -0.973988189836804
"fBodyAccJerk" "sitting" "mean" "Z" -0.97956197226224
"fBodyAccJerk" "sitting" "std" "X" -0.98618495368036
"fBodyAccJerk" "sitting" "std" "Y" -0.975750855391109
"fBodyAccJerk" "sitting" "std" "Z" -0.983670821046708
"fBodyAccJerk" "standing" "mean" "X" -0.980008693961175
"fBodyAccJerk" "standing" "mean" "Y" -0.96454742224554
"fBodyAccJerk" "standing" "mean" "Z" -0.976157838746065
"fBodyAccJerk" "standing" "std" "X" -0.981826075755509
"fBodyAccJerk" "standing" "std" "Y" -0.966831630482686
"fBodyAccJerk" "standing" "std" "Z" -0.981509250650577
"fBodyAccJerk" "walking" "mean" "X" -0.31112743843018
"fBodyAccJerk" "walking" "mean" "Y" -0.170395065771795
"fBodyAccJerk" "walking" "mean" "Z" -0.451010514389593
